 corr, err
   0.30363,   0.00128
   0.25761,   0.00118
   0.21772,   0.00111
   0.18542,   0.00106
   0.15728,   0.00103
   0.13374,   0.00100
   0.11361,   0.00099
   0.09570,   0.00098
   0.08166,   0.00098
   0.06863,   0.00097
   0.05829,   0.00097
   0.04847,   0.00097
   0.04083,   0.00096
   0.03408,   0.00096
   0.02909,   0.00096
   0.02471,   0.00096
   0.02086,   0.00096
   0.01777,   0.00096
   0.01536,   0.00096
   0.01306,   0.00096
   0.01117,   0.00097
   0.01013,   0.00097
   0.00807,   0.00096
   0.00686,   0.00096
   0.00541,   0.00096
   0.00439,   0.00097
   0.00436,   0.00097
   0.00401,   0.00096
   0.00353,   0.00096
   0.00311,   0.00096
   0.00377,   0.00096
   0.00393,   0.00096
   0.00289,   0.00096
   0.00273,   0.00097
   0.00289,   0.00096
   0.00248,   0.00096
   0.00283,   0.00096
   0.00268,   0.00097
   0.00213,   0.00096
   0.00129,   0.00096
   0.00135,   0.00096
   0.00117,   0.00096
   0.00168,   0.00097
   0.00153,   0.00096
   0.00206,   0.00096
   0.00240,   0.00096
   0.00255,   0.00096
   0.00137,   0.00096
   0.00092,   0.00096
   0.00122,   0.00096
   0.00011,   0.00096
   0.00100,   0.00096
   0.00004,   0.00096
  -0.00066,   0.00096
  -0.00129,   0.00096
  -0.00155,   0.00096
  -0.00127,   0.00096
  -0.00032,   0.00096
  -0.00082,   0.00097
  -0.00047,   0.00097
  -0.00020,   0.00097
  -0.00006,   0.00096
   0.00020,   0.00096
   0.00016,   0.00096
  -0.00017,   0.00096
  -0.00021,   0.00096
  -0.00033,   0.00096
  -0.00034,   0.00096
  -0.00018,   0.00096
  -0.00021,   0.00096
   0.00068,   0.00096
   0.00037,   0.00096
   0.00130,   0.00096
   0.00240,   0.00096
   0.00385,   0.00096
   0.00454,   0.00096
   0.00588,   0.00096
   0.00698,   0.00096
   0.00849,   0.00096
   0.00996,   0.00096
   0.01104,   0.00096
   0.01330,   0.00097
   0.01661,   0.00097
   0.01903,   0.00096
   0.02210,   0.00097
   0.02641,   0.00096
   0.03095,   0.00097
   0.03585,   0.00097
   0.04245,   0.00097
   0.04987,   0.00097
   0.05930,   0.00097
   0.07004,   0.00098
   0.08183,   0.00098
   0.09739,   0.00099
   0.11455,   0.00099
   0.13487,   0.00101
   0.15833,   0.00103
   0.18696,   0.00106
   0.21965,   0.00111
   0.25825,   0.00118
   0.30363,   0.00128
