 E_0, err, acc_rate
   0.44593,   0.00201,   0.74964
   0.48630,   0.00216,   0.73535
   0.49279,   0.00220,  -0.67468
   0.49019,   0.00219,  -0.32296
   0.49937,   0.00224,  -0.10549
   0.50039,   0.00224,   0.13295
   0.50012,   0.00224,  -0.11761
