 corr, err
   0.25716,   0.00107
   0.21287,   0.00098
   0.17549,   0.00092
   0.14454,   0.00088
   0.11967,   0.00085
   0.09878,   0.00083
   0.08144,   0.00082
   0.06709,   0.00082
   0.05492,   0.00081
   0.04452,   0.00081
   0.03672,   0.00081
   0.03080,   0.00081
   0.02544,   0.00081
   0.02150,   0.00081
   0.01780,   0.00081
   0.01488,   0.00081
   0.01211,   0.00081
   0.01082,   0.00081
   0.00926,   0.00081
   0.00755,   0.00081
   0.00561,   0.00081
   0.00423,   0.00081
   0.00381,   0.00081
   0.00311,   0.00081
   0.00295,   0.00082
   0.00249,   0.00082
   0.00216,   0.00082
   0.00156,   0.00082
   0.00133,   0.00081
   0.00048,   0.00081
   0.00055,   0.00081
   0.00105,   0.00081
   0.00062,   0.00081
   0.00059,   0.00081
   0.00002,   0.00081
   0.00011,   0.00081
   0.00008,   0.00081
  -0.00086,   0.00081
  -0.00014,   0.00081
  -0.00063,   0.00081
  -0.00027,   0.00081
  -0.00088,   0.00081
  -0.00071,   0.00081
  -0.00095,   0.00081
  -0.00050,   0.00081
  -0.00061,   0.00081
  -0.00031,   0.00082
  -0.00016,   0.00081
  -0.00003,   0.00081
  -0.00059,   0.00081
  -0.00221,   0.00081
  -0.00088,   0.00081
  -0.00209,   0.00082
  -0.00273,   0.00082
  -0.00214,   0.00081
  -0.00119,   0.00082
  -0.00081,   0.00082
  -0.00096,   0.00082
  -0.00067,   0.00082
   0.00025,   0.00082
  -0.00097,   0.00081
  -0.00020,   0.00081
   0.00018,   0.00081
  -0.00010,   0.00081
  -0.00007,   0.00081
   0.00091,   0.00082
   0.00087,   0.00081
   0.00035,   0.00082
   0.00022,   0.00081
   0.00056,   0.00081
   0.00065,   0.00081
   0.00122,   0.00082
   0.00204,   0.00082
   0.00194,   0.00082
   0.00242,   0.00081
   0.00300,   0.00081
   0.00288,   0.00081
   0.00336,   0.00081
   0.00383,   0.00082
   0.00487,   0.00081
   0.00515,   0.00081
   0.00525,   0.00081
   0.00715,   0.00081
   0.00919,   0.00082
   0.01075,   0.00082
   0.01378,   0.00082
   0.01717,   0.00081
   0.02194,   0.00082
   0.02527,   0.00081
   0.03090,   0.00082
   0.03799,   0.00081
   0.04549,   0.00081
   0.05548,   0.00081
   0.06749,   0.00082
   0.08115,   0.00082
   0.09815,   0.00084
   0.11885,   0.00085
   0.14385,   0.00087
   0.17465,   0.00091
   0.21187,   0.00098
   0.25716,   0.00107
