 E_0, err, acc_rate
   0.51948,   0.00302,   0.75205
   0.63905,   0.00400,   0.75983
   0.66625,   0.00426,  -0.68276
   0.67480,   0.00444,  -0.32809
   0.68238,   0.00446,  -0.10895
   0.68870,   0.00455,   0.13104
   0.69302,   0.00463,  -0.11862
