sweep,H,L,T
0,-128,8,3.500
1,-108,0,0
2,-92,0,0
3,-44,0,0
4,-40,0,0
5,-44,0,0
6,-20,0,0
7,-36,0,0
8,-24,0,0
9,-28,0,0
10,-36,0,0
11,-20,0,0
12,-44,0,0
13,-40,0,0
14,-24,0,0
15,-28,0,0
16,-20,0,0
17,-64,0,0
18,-32,0,0
19,-8,0,0
20,-32,0,0
21,-48,0,0
22,-44,0,0
23,-44,0,0
24,-32,0,0
25,-52,0,0
26,-60,0,0
27,-44,0,0
28,-24,0,0
29,-28,0,0
30,-52,0,0
31,-44,0,0
32,-48,0,0
33,-24,0,0
34,-44,0,0
35,-24,0,0
36,-44,0,0
37,-52,0,0
38,-28,0,0
39,-36,0,0
40,-16,0,0
41,-32,0,0
42,-48,0,0
43,-16,0,0
44,-20,0,0
45,-32,0,0
46,-32,0,0
47,-28,0,0
48,-36,0,0
49,-44,0,0
50,-40,0,0
51,-56,0,0
52,-60,0,0
53,-44,0,0
54,-36,0,0
55,-16,0,0
56,-24,0,0
57,-36,0,0
58,-24,0,0
59,-28,0,0
60,-28,0,0
61,-32,0,0
62,-40,0,0
63,-28,0,0
64,-56,0,0
65,-60,0,0
66,-40,0,0
67,-16,0,0
68,-76,0,0
69,-56,0,0
70,-32,0,0
71,-52,0,0
72,-24,0,0
73,-32,0,0
74,-24,0,0
75,-88,0,0
76,-76,0,0
77,-40,0,0
78,-32,0,0
79,-40,0,0
80,-48,0,0
81,-64,0,0
82,-52,0,0
83,-72,0,0
84,-28,0,0
85,-28,0,0
86,-40,0,0
87,-44,0,0
88,-28,0,0
89,-36,0,0
90,-52,0,0
91,-40,0,0
92,-28,0,0
93,-16,0,0
94,-40,0,0
95,-36,0,0
96,-56,0,0
97,-60,0,0
98,-68,0,0
99,-56,0,0
100,-28,0,0
101,-28,0,0
102,-40,0,0
103,-20,0,0
104,-28,0,0
105,-32,0,0
106,-44,0,0
107,-56,0,0
108,-44,0,0
109,-36,0,0
110,-40,0,0
111,-56,0,0
112,-60,0,0
113,-36,0,0
114,-56,0,0
115,-48,0,0
116,-40,0,0
117,-36,0,0
118,-28,0,0
119,-32,0,0
120,-36,0,0
121,-40,0,0
122,-32,0,0
123,-28,0,0
124,-48,0,0
125,-24,0,0
126,-44,0,0
127,-48,0,0
128,-48,0,0
129,-48,0,0
130,-32,0,0
131,-60,0,0
132,-56,0,0
133,-88,0,0
134,-52,0,0
135,-36,0,0
136,-40,0,0
137,-60,0,0
138,-32,0,0
139,-52,0,0
140,-32,0,0
141,-36,0,0
142,-52,0,0
143,-48,0,0
144,-36,0,0
145,-36,0,0
146,-32,0,0
147,-40,0,0
148,-56,0,0
149,-60,0,0
150,-44,0,0
151,-40,0,0
152,-44,0,0
153,-36,0,0
154,-16,0,0
155,-16,0,0
156,-20,0,0
157,-24,0,0
158,-20,0,0
159,-40,0,0
160,-40,0,0
161,-52,0,0
162,-32,0,0
163,-28,0,0
164,-40,0,0
165,-44,0,0
166,-40,0,0
167,-28,0,0
168,-40,0,0
169,-44,0,0
170,-48,0,0
171,-40,0,0
172,-60,0,0
173,-40,0,0
174,-24,0,0
175,-16,0,0
176,-28,0,0
177,-44,0,0
178,-36,0,0
179,-32,0,0
180,-32,0,0
181,-44,0,0
182,-44,0,0
183,-20,0,0
184,-44,0,0
185,-44,0,0
186,-48,0,0
187,-48,0,0
188,-48,0,0
189,-28,0,0
190,-32,0,0
191,-40,0,0
192,-28,0,0
193,-44,0,0
194,-52,0,0
195,-28,0,0
196,-16,0,0
197,-24,0,0
198,-24,0,0
199,-24,0,0
200,-32,0,0
