n_max,caminantes,experimentos,prob,error
10,13,1000,0.188077,0.003392
20,13,1000,0.202154,0.003593
40,13,1000,0.206615,0.003676
80,13,1000,0.204615,0.003531
160,13,1000,0.212231,0.003591
320,13,1000,0.212231,0.003465
640,13,1000,0.207538,0.003666
1280,13,1000,0.207846,0.003548
2560,13,1000,0.211692,0.003581
5120,13,1000,0.219385,0.003574
10240,13,1000,0.217308,0.003514
20480,13,1000,0.214769,0.003648
40960,13,1000,0.214846,0.003723
81920,13,1000,0.207077,0.003639
163840,13,1000,0.214615,0.003610
