n_max,caminantes,experimentos,prob,error
10,13,1000,0.087769,0.002396
20,13,1000,0.089538,0.002512
40,13,1000,0.092154,0.002459
80,13,1000,0.093231,0.002554
160,13,1000,0.094462,0.002628
320,13,1000,0.096308,0.002617
640,13,1000,0.093615,0.002587
1280,13,1000,0.091769,0.002419
2560,13,1000,0.093385,0.002606
5120,13,1000,0.094846,0.002602
10240,13,1000,0.091385,0.002556
20480,13,1000,0.090000,0.002540
40960,13,1000,0.094538,0.002565
81920,13,1000,0.090692,0.002449
163840,13,1000,0.094923,0.002575
