sweep,H,L,T
0,8,8,3.500
1,-12,0,0
2,-28,0,0
3,-24,0,0
4,-32,0,0
5,-40,0,0
6,-40,0,0
7,-48,0,0
8,-48,0,0
9,-52,0,0
10,-40,0,0
11,-36,0,0
12,-40,0,0
13,-48,0,0
14,-56,0,0
15,-44,0,0
16,-28,0,0
17,-28,0,0
18,-24,0,0
19,-40,0,0
20,-32,0,0
21,-12,0,0
22,-48,0,0
23,-48,0,0
24,-28,0,0
25,-28,0,0
26,-40,0,0
27,-28,0,0
28,-40,0,0
29,-28,0,0
30,-36,0,0
31,-20,0,0
32,-36,0,0
33,-16,0,0
34,-16,0,0
35,-56,0,0
36,-48,0,0
37,-44,0,0
38,-48,0,0
39,-64,0,0
40,-56,0,0
41,-48,0,0
42,-28,0,0
43,-44,0,0
44,-36,0,0
45,-36,0,0
46,-44,0,0
47,-52,0,0
48,-48,0,0
49,-40,0,0
50,-52,0,0
51,-44,0,0
52,-52,0,0
53,-56,0,0
54,-88,0,0
55,-44,0,0
56,-40,0,0
57,-40,0,0
58,-52,0,0
59,-36,0,0
60,-40,0,0
61,-44,0,0
62,-40,0,0
63,-48,0,0
64,-48,0,0
65,-40,0,0
66,-20,0,0
67,-36,0,0
68,-48,0,0
69,-40,0,0
70,-52,0,0
71,-36,0,0
72,-56,0,0
73,-56,0,0
74,-40,0,0
75,-44,0,0
76,-28,0,0
77,-20,0,0
78,-36,0,0
79,-28,0,0
80,-36,0,0
81,-36,0,0
82,-40,0,0
83,-44,0,0
84,-44,0,0
85,-24,0,0
86,-48,0,0
87,-36,0,0
88,-32,0,0
89,-84,0,0
90,-56,0,0
91,-56,0,0
92,-44,0,0
93,-52,0,0
94,-48,0,0
95,-48,0,0
96,-64,0,0
97,-84,0,0
98,-40,0,0
99,-28,0,0
100,-56,0,0
101,-56,0,0
102,-36,0,0
103,-24,0,0
104,-60,0,0
105,-60,0,0
106,-44,0,0
107,-72,0,0
108,-52,0,0
109,-52,0,0
110,-28,0,0
111,-32,0,0
112,-52,0,0
113,-36,0,0
114,-44,0,0
115,-48,0,0
116,-60,0,0
117,-56,0,0
118,-16,0,0
119,-16,0,0
120,-36,0,0
121,-36,0,0
122,-56,0,0
123,-52,0,0
124,-60,0,0
125,-56,0,0
126,-52,0,0
127,-36,0,0
128,-16,0,0
129,-40,0,0
130,-28,0,0
131,-32,0,0
132,-32,0,0
133,-48,0,0
134,-4,0,0
135,-24,0,0
136,-44,0,0
137,-48,0,0
138,-44,0,0
139,-20,0,0
140,-40,0,0
141,-32,0,0
142,-36,0,0
143,-40,0,0
144,-44,0,0
145,-32,0,0
146,-52,0,0
147,-44,0,0
148,-36,0,0
149,-48,0,0
150,-36,0,0
151,-36,0,0
152,-36,0,0
153,-32,0,0
154,-68,0,0
155,-28,0,0
156,-40,0,0
157,-44,0,0
158,-40,0,0
159,-64,0,0
160,-76,0,0
161,-28,0,0
162,-60,0,0
163,-52,0,0
164,-16,0,0
165,-40,0,0
166,-36,0,0
167,-60,0,0
168,-64,0,0
169,-44,0,0
170,-32,0,0
