sweep,H,L,T
0,-8,8,2.500
1,-52,0,0
2,-52,0,0
3,-48,0,0
4,-52,0,0
5,-72,0,0
6,-92,0,0
7,-112,0,0
8,-104,0,0
9,-104,0,0
10,-120,0,0
11,-112,0,0
12,-104,0,0
13,-64,0,0
14,-56,0,0
15,-56,0,0
16,-84,0,0
17,-80,0,0
18,-72,0,0
19,-48,0,0
20,-52,0,0
21,-56,0,0
22,-60,0,0
23,-56,0,0
24,-60,0,0
25,-60,0,0
26,-76,0,0
27,-52,0,0
28,-56,0,0
29,-36,0,0
30,-56,0,0
31,-64,0,0
32,-84,0,0
33,-60,0,0
34,-76,0,0
35,-52,0,0
36,-60,0,0
37,-72,0,0
38,-72,0,0
39,-76,0,0
40,-92,0,0
41,-100,0,0
42,-96,0,0
43,-52,0,0
44,-40,0,0
45,-64,0,0
46,-64,0,0
47,-72,0,0
48,-88,0,0
49,-88,0,0
50,-104,0,0
51,-104,0,0
52,-96,0,0
53,-72,0,0
54,-84,0,0
55,-96,0,0
56,-100,0,0
57,-112,0,0
58,-68,0,0
59,-88,0,0
60,-72,0,0
61,-92,0,0
62,-92,0,0
63,-80,0,0
64,-72,0,0
65,-104,0,0
66,-120,0,0
67,-96,0,0
68,-104,0,0
69,-116,0,0
70,-116,0,0
71,-120,0,0
72,-128,0,0
73,-108,0,0
74,-68,0,0
75,-76,0,0
76,-88,0,0
77,-108,0,0
78,-84,0,0
79,-56,0,0
80,-72,0,0
81,-52,0,0
82,-84,0,0
83,-88,0,0
84,-92,0,0
85,-92,0,0
86,-120,0,0
87,-112,0,0
88,-104,0,0
89,-108,0,0
90,-108,0,0
91,-108,0,0
92,-76,0,0
93,-56,0,0
94,-60,0,0
95,-56,0,0
96,-64,0,0
97,-72,0,0
98,-72,0,0
99,-84,0,0
100,-72,0,0
101,-84,0,0
102,-80,0,0
103,-56,0,0
104,-60,0,0
105,-64,0,0
106,-56,0,0
107,-68,0,0
108,-52,0,0
109,-52,0,0
110,-56,0,0
111,-48,0,0
112,-52,0,0
113,-52,0,0
114,-40,0,0
115,-28,0,0
116,-36,0,0
117,-36,0,0
118,-44,0,0
119,-48,0,0
120,-52,0,0
121,-52,0,0
122,-52,0,0
123,-76,0,0
124,-72,0,0
125,-84,0,0
126,-84,0,0
127,-60,0,0
128,-56,0,0
129,-36,0,0
130,-52,0,0
131,-48,0,0
132,-48,0,0
133,-68,0,0
134,-68,0,0
135,-88,0,0
136,-48,0,0
137,-56,0,0
138,-68,0,0
139,-84,0,0
140,-48,0,0
141,-72,0,0
142,-92,0,0
143,-44,0,0
144,-48,0,0
145,-64,0,0
146,-88,0,0
147,-88,0,0
148,-72,0,0
149,-64,0,0
150,-44,0,0
151,-80,0,0
152,-60,0,0
153,-56,0,0
154,-44,0,0
155,-40,0,0
156,-64,0,0
157,-56,0,0
158,-48,0,0
159,-56,0,0
