sweep,H,L,T
0,-12,8,3.000
1,-28,0,0
2,-32,0,0
3,-52,0,0
4,-56,0,0
5,-64,0,0
6,-56,0,0
7,-68,0,0
8,-64,0,0
9,-48,0,0
10,-48,0,0
11,-32,0,0
12,-44,0,0
13,-56,0,0
14,-56,0,0
15,-72,0,0
16,-48,0,0
17,-36,0,0
18,-52,0,0
19,-44,0,0
20,-32,0,0
21,-40,0,0
22,-48,0,0
23,-64,0,0
24,-72,0,0
25,-44,0,0
26,-52,0,0
27,-56,0,0
28,-52,0,0
29,-36,0,0
30,-76,0,0
31,-52,0,0
32,-80,0,0
33,-60,0,0
34,-92,0,0
35,-60,0,0
36,-68,0,0
37,-44,0,0
38,-52,0,0
39,-68,0,0
40,-48,0,0
41,-28,0,0
42,-52,0,0
43,-32,0,0
44,-48,0,0
45,-64,0,0
46,-64,0,0
47,-56,0,0
48,-56,0,0
49,-60,0,0
50,-88,0,0
51,-96,0,0
52,-84,0,0
53,-60,0,0
54,-56,0,0
55,-52,0,0
56,-32,0,0
57,-56,0,0
58,-48,0,0
59,-52,0,0
60,-60,0,0
61,-36,0,0
62,-28,0,0
63,-44,0,0
64,-84,0,0
65,-68,0,0
66,-52,0,0
67,-32,0,0
68,-40,0,0
69,-44,0,0
70,-28,0,0
71,-48,0,0
72,-48,0,0
73,-48,0,0
74,-56,0,0
75,-48,0,0
76,-36,0,0
77,-36,0,0
78,-48,0,0
79,-68,0,0
80,-56,0,0
81,-56,0,0
82,-68,0,0
83,-56,0,0
84,-44,0,0
85,-52,0,0
86,-48,0,0
87,-56,0,0
88,-72,0,0
89,-76,0,0
90,-52,0,0
91,-40,0,0
92,-64,0,0
93,-60,0,0
94,-64,0,0
95,-64,0,0
96,-76,0,0
97,-108,0,0
98,-104,0,0
99,-88,0,0
100,-112,0,0
101,-80,0,0
102,-28,0,0
103,-24,0,0
104,-36,0,0
105,-36,0,0
106,-40,0,0
107,-52,0,0
108,-40,0,0
109,-32,0,0
110,-60,0,0
111,-52,0,0
112,-32,0,0
113,-40,0,0
114,-52,0,0
115,-56,0,0
116,-48,0,0
117,-36,0,0
118,-60,0,0
119,-36,0,0
120,-44,0,0
121,-40,0,0
122,-80,0,0
123,-44,0,0
124,-64,0,0
125,-60,0,0
126,-52,0,0
127,-28,0,0
128,-48,0,0
129,-56,0,0
130,-48,0,0
131,-40,0,0
132,-40,0,0
133,-52,0,0
134,-60,0,0
135,-44,0,0
136,-24,0,0
137,-36,0,0
138,-52,0,0
139,-44,0,0
140,-76,0,0
141,-52,0,0
142,-48,0,0
143,-56,0,0
144,-44,0,0
145,-24,0,0
146,-44,0,0
147,-40,0,0
148,-28,0,0
149,-32,0,0
150,-40,0,0
151,-36,0,0
152,-20,0,0
153,-32,0,0
154,-48,0,0
155,-48,0,0
156,-56,0,0
157,-64,0,0
158,-32,0,0
159,-64,0,0
160,-68,0,0
161,-72,0,0
162,-96,0,0
163,-84,0,0
164,-68,0,0
165,-84,0,0
166,-84,0,0
167,-60,0,0
168,-56,0,0
169,-52,0,0
170,-68,0,0
171,-60,0,0
172,-64,0,0
173,-52,0,0
174,-64,0,0
175,-68,0,0
176,-52,0,0
177,-64,0,0
178,-56,0,0
179,-60,0,0
180,-60,0,0
181,-64,0,0
182,-68,0,0
183,-76,0,0
184,-68,0,0
185,-92,0,0
186,-76,0,0
187,-72,0,0
188,-80,0,0
189,-72,0,0
190,-72,0,0
191,-52,0,0
192,-84,0,0
193,-104,0,0
194,-76,0,0
195,-72,0,0
196,-68,0,0
197,-68,0,0
198,-92,0,0
199,-92,0,0
200,-40,0,0
201,-60,0,0
202,-60,0,0
203,-68,0,0
204,-60,0,0
205,-72,0,0
206,-52,0,0
207,-60,0,0
208,-64,0,0
209,-52,0,0
210,-24,0,0
211,-44,0,0
212,-28,0,0
213,-60,0,0
214,-60,0,0
215,-40,0,0
216,-48,0,0
217,-64,0,0
218,-48,0,0
219,-84,0,0
220,-52,0,0
221,-48,0,0
222,-64,0,0
223,-48,0,0
224,-48,0,0
225,-60,0,0
226,-52,0,0
227,-60,0,0
228,-52,0,0
229,-44,0,0
230,-32,0,0
231,-36,0,0
232,-52,0,0
233,-48,0,0
234,-56,0,0
235,-52,0,0
236,-48,0,0
237,-72,0,0
238,-68,0,0
239,-44,0,0
240,-52,0,0
241,-84,0,0
242,-72,0,0
243,-44,0,0
244,-36,0,0
