n,rep,pi,error
10,1000,3.130799999999996,0.030458809876604
100,1000,3.144659999999997,0.009543089382111
1000,1000,3.142997999999995,0.003077328377991
10000,1000,3.143930400000005,0.000948228228119
100000,1000,3.141825959999996,0.000302676036218
1000000,1000,3.141610139999998,0.000093555684133
