n_max,caminantes,experimentos,prob,error
10,13,1000,0.114846,0.002792
20,13,1000,0.115538,0.002844
40,13,1000,0.115231,0.002828
80,13,1000,0.116846,0.002890
160,13,1000,0.117846,0.002735
320,13,1000,0.118308,0.002824
640,13,1000,0.113077,0.002744
1280,13,1000,0.119308,0.002844
2560,13,1000,0.110077,0.002718
5120,13,1000,0.113538,0.002798
10240,13,1000,0.117462,0.002797
20480,13,1000,0.115077,0.002819
40960,13,1000,0.117538,0.002821
81920,13,1000,0.110692,0.002799
163840,13,1000,0.113077,0.002795
