n_max,caminantes,experimentos,prob,error
2,15,100,0.236666666666666,0.012185435916899
4,15,100,0.338666666666666,0.013556383481920
8,15,100,0.396000000000000,0.012528575642581
16,15,100,0.475333333333333,0.013220227334445
32,15,100,0.545333333333333,0.013513264049628
64,15,100,0.561333333333333,0.012929229797825
128,15,100,0.599333333333333,0.012189856135024
256,15,100,0.628000000000000,0.013032980697392
512,15,100,0.642000000000000,0.012305683812634
1024,15,100,0.678000000000000,0.011837090976392
2048,15,100,0.709333333333333,0.011547782933733
4096,15,100,0.738666666666666,0.011860771054667
8192,15,100,0.750000000000000,0.010777829844714
16384,15,100,0.772666666666666,0.011215469515514
32768,15,100,0.754666666666666,0.011906104782365
65536,15,100,0.771333333333333,0.011020030736849
131072,15,100,0.779333333333332,0.011708966127142
262144,15,100,0.802000000000000,0.010570908558119
524288,15,100,0.807333333333333,0.009423089344510
1048576,15,100,0.803333333333333,0.009107168400434
