n,rep,pi,error
10,1000,3.122399999999990,0.016695417843738
100,1000,3.132119999999988,0.005177481232408
1000,1000,3.141267999999996,0.001612943198558
10000,1000,3.142154000000002,0.000525982187208
100000,1000,3.141732440000000,0.000164903540377
1000000,1000,3.141575708000001,0.000052381427832
