sweep,H,L,T
0,-128,8,1.500
1,-128,0,0
2,-128,0,0
3,-128,0,0
4,-128,0,0
5,-120,0,0
6,-120,0,0
7,-128,0,0
8,-120,0,0
9,-112,0,0
10,-120,0,0
11,-128,0,0
12,-128,0,0
13,-128,0,0
14,-120,0,0
15,-120,0,0
16,-128,0,0
17,-120,0,0
18,-128,0,0
19,-120,0,0
20,-120,0,0
21,-128,0,0
22,-128,0,0
23,-120,0,0
24,-128,0,0
25,-128,0,0
26,-120,0,0
27,-128,0,0
28,-128,0,0
29,-116,0,0
30,-120,0,0
31,-128,0,0
32,-120,0,0
33,-128,0,0
34,-128,0,0
35,-128,0,0
36,-128,0,0
37,-120,0,0
38,-128,0,0
39,-116,0,0
40,-128,0,0
41,-128,0,0
42,-120,0,0
43,-128,0,0
44,-128,0,0
45,-128,0,0
46,-120,0,0
47,-116,0,0
48,-128,0,0
49,-128,0,0
50,-128,0,0
51,-128,0,0
52,-128,0,0
53,-128,0,0
54,-128,0,0
55,-112,0,0
56,-128,0,0
57,-120,0,0
58,-128,0,0
59,-128,0,0
60,-128,0,0
61,-128,0,0
62,-120,0,0
63,-128,0,0
64,-120,0,0
65,-128,0,0
66,-128,0,0
67,-128,0,0
68,-128,0,0
69,-128,0,0
70,-120,0,0
71,-128,0,0
72,-128,0,0
73,-128,0,0
74,-120,0,0
75,-128,0,0
76,-128,0,0
77,-128,0,0
78,-120,0,0
79,-128,0,0
80,-120,0,0
81,-128,0,0
82,-128,0,0
83,-128,0,0
84,-128,0,0
85,-128,0,0
86,-128,0,0
87,-120,0,0
88,-128,0,0
89,-120,0,0
90,-120,0,0
91,-128,0,0
92,-128,0,0
93,-128,0,0
94,-128,0,0
95,-128,0,0
96,-128,0,0
97,-128,0,0
98,-128,0,0
99,-128,0,0
100,-128,0,0
101,-128,0,0
102,-128,0,0
103,-112,0,0
104,-128,0,0
105,-120,0,0
106,-128,0,0
107,-128,0,0
108,-128,0,0
109,-128,0,0
110,-128,0,0
111,-116,0,0
112,-128,0,0
113,-128,0,0
114,-120,0,0
115,-128,0,0
116,-128,0,0
117,-128,0,0
118,-120,0,0
119,-120,0,0
120,-128,0,0
121,-116,0,0
122,-120,0,0
123,-128,0,0
124,-128,0,0
125,-128,0,0
126,-128,0,0
127,-128,0,0
128,-128,0,0
129,-112,0,0
130,-128,0,0
131,-120,0,0
132,-116,0,0
133,-120,0,0
134,-120,0,0
135,-120,0,0
136,-112,0,0
137,-120,0,0
138,-120,0,0
139,-128,0,0
140,-128,0,0
141,-128,0,0
142,-128,0,0
143,-128,0,0
144,-120,0,0
145,-128,0,0
146,-116,0,0
147,-128,0,0
148,-120,0,0
149,-128,0,0
150,-128,0,0
151,-128,0,0
152,-128,0,0
153,-128,0,0
154,-128,0,0
155,-128,0,0
156,-120,0,0
157,-120,0,0
158,-128,0,0
159,-128,0,0
160,-128,0,0
161,-128,0,0
162,-128,0,0
163,-128,0,0
164,-128,0,0
165,-116,0,0
166,-108,0,0
167,-128,0,0
168,-128,0,0
169,-104,0,0
170,-120,0,0
171,-128,0,0
172,-120,0,0
173,-128,0,0
174,-116,0,0
