sweep,H,L,T
0,-128,8,2.000
1,-100,0,0
2,-96,0,0
3,-88,0,0
4,-104,0,0
5,-112,0,0
6,-120,0,0
7,-120,0,0
8,-112,0,0
9,-116,0,0
10,-112,0,0
11,-104,0,0
12,-112,0,0
13,-104,0,0
14,-120,0,0
15,-120,0,0
16,-96,0,0
17,-104,0,0
18,-96,0,0
19,-100,0,0
20,-120,0,0
21,-120,0,0
22,-120,0,0
23,-100,0,0
24,-104,0,0
25,-120,0,0
26,-112,0,0
27,-108,0,0
28,-112,0,0
29,-120,0,0
30,-100,0,0
31,-96,0,0
32,-116,0,0
33,-112,0,0
34,-104,0,0
35,-108,0,0
36,-128,0,0
37,-112,0,0
38,-100,0,0
39,-76,0,0
40,-84,0,0
41,-120,0,0
42,-120,0,0
43,-128,0,0
44,-120,0,0
45,-128,0,0
46,-120,0,0
47,-128,0,0
48,-128,0,0
49,-112,0,0
50,-120,0,0
51,-120,0,0
52,-104,0,0
53,-128,0,0
54,-128,0,0
55,-116,0,0
56,-112,0,0
57,-128,0,0
58,-108,0,0
59,-128,0,0
60,-128,0,0
61,-104,0,0
62,-104,0,0
63,-120,0,0
64,-112,0,0
65,-112,0,0
66,-120,0,0
67,-128,0,0
68,-120,0,0
69,-116,0,0
70,-128,0,0
71,-128,0,0
72,-128,0,0
73,-120,0,0
74,-128,0,0
75,-120,0,0
76,-96,0,0
77,-104,0,0
78,-120,0,0
79,-116,0,0
80,-120,0,0
81,-128,0,0
82,-128,0,0
83,-128,0,0
84,-120,0,0
85,-120,0,0
86,-116,0,0
87,-112,0,0
88,-120,0,0
89,-104,0,0
90,-104,0,0
91,-112,0,0
92,-120,0,0
93,-80,0,0
94,-80,0,0
95,-108,0,0
96,-100,0,0
97,-104,0,0
98,-96,0,0
99,-128,0,0
100,-120,0,0
101,-128,0,0
102,-112,0,0
103,-96,0,0
104,-88,0,0
105,-88,0,0
106,-112,0,0
107,-96,0,0
108,-88,0,0
109,-100,0,0
110,-76,0,0
111,-96,0,0
112,-128,0,0
113,-92,0,0
114,-96,0,0
115,-96,0,0
116,-96,0,0
117,-84,0,0
118,-96,0,0
119,-128,0,0
120,-128,0,0
121,-116,0,0
122,-120,0,0
123,-112,0,0
124,-116,0,0
125,-112,0,0
126,-104,0,0
127,-116,0,0
128,-116,0,0
129,-104,0,0
130,-128,0,0
131,-92,0,0
132,-92,0,0
133,-120,0,0
134,-112,0,0
135,-100,0,0
136,-112,0,0
137,-112,0,0
138,-104,0,0
139,-120,0,0
140,-112,0,0
141,-92,0,0
142,-120,0,0
143,-112,0,0
144,-112,0,0
145,-112,0,0
146,-100,0,0
147,-128,0,0
148,-128,0,0
149,-128,0,0
150,-116,0,0
151,-120,0,0
152,-112,0,0
153,-120,0,0
154,-116,0,0
155,-100,0,0
156,-116,0,0
157,-128,0,0
158,-112,0,0
159,-112,0,0
160,-120,0,0
161,-120,0,0
162,-120,0,0
163,-112,0,0
164,-128,0,0
165,-128,0,0
166,-120,0,0
167,-128,0,0
168,-128,0,0
169,-128,0,0
170,-108,0,0
171,-108,0,0
172,-92,0,0
173,-88,0,0
174,-120,0,0
175,-96,0,0
176,-128,0,0
177,-120,0,0
178,-128,0,0
179,-112,0,0
180,-100,0,0
181,-120,0,0
182,-120,0,0
183,-128,0,0
184,-128,0,0
185,-128,0,0
186,-112,0,0
187,-120,0,0
188,-120,0,0
189,-112,0,0
190,-100,0,0
191,-92,0,0
192,-112,0,0
193,-108,0,0
194,-112,0,0
195,-108,0,0
196,-112,0,0
197,-116,0,0
198,-128,0,0
199,-128,0,0
200,-120,0,0
201,-120,0,0
202,-120,0,0
203,-108,0,0
204,-128,0,0
205,-128,0,0
206,-112,0,0
207,-120,0,0
208,-128,0,0
209,-120,0,0
210,-128,0,0
211,-108,0,0
212,-104,0,0
213,-112,0,0
214,-108,0,0
215,-100,0,0
216,-128,0,0
217,-128,0,0
218,-128,0,0
219,-120,0,0
220,-112,0,0
221,-112,0,0
222,-112,0,0
223,-120,0,0
224,-112,0,0
225,-120,0,0
226,-128,0,0
227,-120,0,0
228,-120,0,0
229,-112,0,0
230,-80,0,0
231,-84,0,0
232,-120,0,0
233,-92,0,0
234,-128,0,0
235,-128,0,0
236,-112,0,0
237,-92,0,0
238,-92,0,0
239,-108,0,0
240,-100,0,0
241,-128,0,0
242,-120,0,0
243,-120,0,0
244,-120,0,0
245,-104,0,0
246,-112,0,0
247,-108,0,0
248,-104,0,0
249,-120,0,0
250,-128,0,0
251,-96,0,0
252,-96,0,0
253,-112,0,0
254,-128,0,0
255,-112,0,0
256,-104,0,0
257,-112,0,0
258,-112,0,0
259,-108,0,0
260,-92,0,0
261,-92,0,0
262,-120,0,0
263,-128,0,0
264,-108,0,0
265,-96,0,0
266,-64,0,0
267,-80,0,0
268,-112,0,0
269,-100,0,0
270,-120,0,0
271,-96,0,0
272,-120,0,0
273,-104,0,0
274,-128,0,0
275,-120,0,0
276,-108,0,0
277,-128,0,0
278,-100,0,0
279,-116,0,0
280,-96,0,0
281,-128,0,0
282,-112,0,0
283,-112,0,0
284,-120,0,0
285,-128,0,0
286,-128,0,0
287,-120,0,0
288,-120,0,0
289,-120,0,0
290,-120,0,0
291,-120,0,0
292,-108,0,0
293,-108,0,0
294,-100,0,0
295,-120,0,0
296,-128,0,0
297,-100,0,0
298,-108,0,0
299,-120,0,0
300,-128,0,0
301,-120,0,0
302,-128,0,0
303,-112,0,0
304,-120,0,0
305,-104,0,0
306,-92,0,0
307,-72,0,0
308,-108,0,0
309,-120,0,0
310,-112,0,0
311,-116,0,0
312,-120,0,0
313,-112,0,0
314,-116,0,0
315,-128,0,0
316,-128,0,0
317,-128,0,0
318,-120,0,0
319,-100,0,0
320,-112,0,0
321,-112,0,0
322,-120,0,0
323,-112,0,0
324,-120,0,0
325,-112,0,0
326,-128,0,0
327,-112,0,0
328,-112,0,0
329,-128,0,0
330,-112,0,0
331,-120,0,0
332,-128,0,0
333,-120,0,0
334,-96,0,0
335,-96,0,0
336,-120,0,0
337,-116,0,0
338,-112,0,0
339,-128,0,0
340,-128,0,0
341,-120,0,0
342,-120,0,0
343,-108,0,0
344,-112,0,0
345,-104,0,0
346,-104,0,0
347,-120,0,0
