sweep,H,L,T
0,-16,8,4.000
1,-20,0,0
2,-52,0,0
3,-52,0,0
4,-36,0,0
5,-36,0,0
6,-48,0,0
7,-24,0,0
8,-40,0,0
9,-28,0,0
10,-12,0,0
11,-28,0,0
12,-48,0,0
13,-32,0,0
14,-24,0,0
15,-28,0,0
16,-40,0,0
17,-40,0,0
18,-32,0,0
19,-68,0,0
20,-44,0,0
21,-40,0,0
22,-32,0,0
23,-32,0,0
24,-16,0,0
25,-36,0,0
26,-48,0,0
27,-48,0,0
28,-60,0,0
29,-32,0,0
30,-28,0,0
31,-36,0,0
32,-32,0,0
33,-40,0,0
34,-44,0,0
35,-48,0,0
36,-72,0,0
37,-48,0,0
38,-48,0,0
39,-48,0,0
40,-44,0,0
41,-32,0,0
42,-36,0,0
43,-44,0,0
44,-36,0,0
45,-48,0,0
46,-28,0,0
47,-32,0,0
48,-40,0,0
49,-28,0,0
50,-20,0,0
51,-32,0,0
52,-56,0,0
53,-24,0,0
54,-32,0,0
55,-20,0,0
56,-20,0,0
57,-48,0,0
58,-32,0,0
59,-40,0,0
60,-36,0,0
61,-28,0,0
62,-36,0,0
63,-32,0,0
64,-36,0,0
65,-76,0,0
66,-68,0,0
67,-84,0,0
68,-64,0,0
69,-68,0,0
70,-60,0,0
71,-40,0,0
72,-60,0,0
73,-56,0,0
74,-52,0,0
75,-32,0,0
76,-24,0,0
77,-28,0,0
78,-16,0,0
79,-52,0,0
80,-28,0,0
81,-24,0,0
82,-48,0,0
83,-32,0,0
84,-28,0,0
85,-52,0,0
86,-40,0,0
87,-40,0,0
88,-12,0,0
89,-12,0,0
90,-28,0,0
91,-40,0,0
92,-36,0,0
93,-32,0,0
94,-28,0,0
95,-16,0,0
96,-36,0,0
97,-36,0,0
98,-40,0,0
99,-60,0,0
100,-40,0,0
101,-28,0,0
102,-28,0,0
103,-20,0,0
104,-24,0,0
105,-16,0,0
106,-20,0,0
107,-40,0,0
108,-36,0,0
109,-52,0,0
110,-28,0,0
111,-44,0,0
112,-48,0,0
113,-28,0,0
114,-24,0,0
115,-28,0,0
116,4,0,0
117,-12,0,0
118,-28,0,0
119,-28,0,0
120,-40,0,0
121,-44,0,0
122,-52,0,0
123,-40,0,0
