sweep,H,L,T
0,-8,8,1.500
1,-68,0,0
2,-120,0,0
3,-128,0,0
4,-120,0,0
5,-128,0,0
6,-128,0,0
7,-128,0,0
8,-128,0,0
9,-128,0,0
10,-128,0,0
11,-128,0,0
12,-112,0,0
13,-128,0,0
14,-128,0,0
15,-128,0,0
16,-120,0,0
17,-128,0,0
18,-128,0,0
19,-128,0,0
20,-128,0,0
21,-128,0,0
22,-120,0,0
23,-128,0,0
24,-120,0,0
25,-120,0,0
26,-128,0,0
27,-120,0,0
28,-120,0,0
29,-128,0,0
30,-128,0,0
31,-128,0,0
32,-128,0,0
33,-128,0,0
34,-128,0,0
35,-128,0,0
36,-128,0,0
37,-128,0,0
38,-116,0,0
39,-128,0,0
40,-128,0,0
41,-128,0,0
42,-128,0,0
43,-128,0,0
44,-128,0,0
45,-128,0,0
46,-128,0,0
47,-128,0,0
48,-120,0,0
49,-120,0,0
50,-120,0,0
51,-128,0,0
52,-120,0,0
53,-128,0,0
54,-120,0,0
55,-120,0,0
56,-120,0,0
57,-128,0,0
58,-120,0,0
59,-120,0,0
60,-128,0,0
61,-120,0,0
62,-128,0,0
63,-128,0,0
64,-128,0,0
65,-128,0,0
66,-120,0,0
67,-120,0,0
68,-128,0,0
69,-128,0,0
70,-128,0,0
71,-128,0,0
72,-112,0,0
73,-120,0,0
74,-128,0,0
75,-128,0,0
76,-128,0,0
77,-120,0,0
78,-128,0,0
79,-128,0,0
80,-120,0,0
81,-108,0,0
82,-100,0,0
83,-120,0,0
84,-128,0,0
85,-128,0,0
86,-116,0,0
87,-128,0,0
88,-120,0,0
89,-128,0,0
90,-120,0,0
91,-120,0,0
92,-128,0,0
93,-128,0,0
94,-128,0,0
95,-120,0,0
96,-120,0,0
97,-112,0,0
98,-120,0,0
99,-120,0,0
100,-128,0,0
101,-128,0,0
102,-120,0,0
103,-120,0,0
104,-128,0,0
105,-128,0,0
106,-120,0,0
107,-128,0,0
108,-128,0,0
109,-120,0,0
110,-116,0,0
111,-120,0,0
112,-120,0,0
113,-128,0,0
114,-120,0,0
115,-128,0,0
116,-128,0,0
117,-120,0,0
118,-128,0,0
119,-112,0,0
120,-128,0,0
121,-128,0,0
122,-128,0,0
123,-128,0,0
124,-112,0,0
125,-128,0,0
126,-128,0,0
127,-128,0,0
128,-128,0,0
129,-128,0,0
130,-120,0,0
131,-128,0,0
132,-128,0,0
133,-120,0,0
134,-116,0,0
135,-108,0,0
136,-120,0,0
137,-128,0,0
138,-120,0,0
139,-128,0,0
140,-128,0,0
141,-120,0,0
142,-120,0,0
143,-128,0,0
144,-112,0,0
145,-128,0,0
146,-128,0,0
147,-120,0,0
148,-120,0,0
149,-128,0,0
150,-128,0,0
151,-128,0,0
152,-128,0,0
153,-120,0,0
154,-128,0,0
155,-120,0,0
156,-128,0,0
157,-128,0,0
158,-128,0,0
159,-128,0,0
160,-128,0,0
161,-128,0,0
162,-128,0,0
163,-128,0,0
164,-116,0,0
165,-120,0,0
166,-128,0,0
167,-120,0,0
168,-128,0,0
169,-128,0,0
170,-120,0,0
171,-128,0,0
172,-128,0,0
173,-128,0,0
174,-128,0,0
175,-128,0,0
176,-112,0,0
177,-120,0,0
178,-120,0,0
179,-120,0,0
180,-128,0,0
181,-128,0,0
182,-128,0,0
183,-128,0,0
184,-128,0,0
185,-128,0,0
186,-128,0,0
187,-120,0,0
188,-128,0,0
189,-128,0,0
190,-120,0,0
191,-128,0,0
192,-128,0,0
193,-120,0,0
194,-120,0,0
195,-128,0,0
196,-128,0,0
197,-128,0,0
198,-128,0,0
199,-128,0,0
200,-120,0,0
201,-120,0,0
202,-120,0,0
203,-128,0,0
204,-128,0,0
205,-128,0,0
206,-128,0,0
207,-128,0,0
208,-128,0,0
209,-120,0,0
210,-128,0,0
211,-120,0,0
212,-128,0,0
213,-128,0,0
214,-128,0,0
215,-128,0,0
216,-128,0,0
217,-128,0,0
218,-128,0,0
219,-128,0,0
220,-120,0,0
221,-120,0,0
222,-112,0,0
223,-120,0,0
224,-128,0,0
225,-112,0,0
226,-120,0,0
227,-120,0,0
228,-128,0,0
229,-128,0,0
230,-128,0,0
231,-120,0,0
232,-128,0,0
233,-120,0,0
234,-128,0,0
235,-128,0,0
236,-128,0,0
237,-128,0,0
238,-116,0,0
239,-120,0,0
240,-128,0,0
241,-120,0,0
242,-120,0,0
243,-128,0,0
244,-128,0,0
245,-128,0,0
246,-128,0,0
247,-128,0,0
248,-128,0,0
249,-120,0,0
250,-120,0,0
251,-128,0,0
252,-112,0,0
253,-112,0,0
254,-108,0,0
255,-120,0,0
256,-120,0,0
257,-128,0,0
258,-128,0,0
259,-128,0,0
260,-120,0,0
261,-128,0,0
262,-128,0,0
263,-120,0,0
264,-128,0,0
265,-128,0,0
266,-128,0,0
267,-128,0,0
268,-128,0,0
269,-128,0,0
270,-128,0,0
271,-112,0,0
272,-108,0,0
273,-120,0,0
274,-120,0,0
275,-108,0,0
276,-120,0,0
277,-128,0,0
278,-128,0,0
279,-128,0,0
280,-128,0,0
281,-128,0,0
282,-128,0,0
283,-128,0,0
284,-116,0,0
285,-120,0,0
286,-128,0,0
287,-128,0,0
288,-128,0,0
289,-128,0,0
290,-128,0,0
291,-128,0,0
292,-128,0,0
293,-128,0,0
294,-120,0,0
295,-120,0,0
296,-120,0,0
297,-112,0,0
298,-128,0,0
299,-128,0,0
300,-112,0,0
301,-128,0,0
302,-120,0,0
303,-120,0,0
304,-128,0,0
305,-128,0,0
306,-128,0,0
307,-128,0,0
308,-128,0,0
309,-128,0,0
310,-128,0,0
311,-128,0,0
312,-128,0,0
313,-128,0,0
314,-128,0,0
315,-128,0,0
316,-128,0,0
317,-128,0,0
318,-128,0,0
319,-128,0,0
320,-128,0,0
321,-128,0,0
322,-128,0,0
323,-128,0,0
324,-128,0,0
325,-128,0,0
326,-128,0,0
327,-120,0,0
328,-128,0,0
329,-128,0,0
330,-120,0,0
331,-128,0,0
332,-128,0,0
333,-128,0,0
334,-120,0,0
335,-128,0,0
336,-120,0,0
337,-116,0,0
338,-116,0,0
339,-128,0,0
340,-128,0,0
341,-128,0,0
342,-128,0,0
343,-128,0,0
344,-128,0,0
345,-128,0,0
346,-128,0,0
347,-128,0,0
348,-128,0,0
349,-128,0,0
350,-120,0,0
351,-120,0,0
