n_max,caminantes,experimentos,prob,error
10,13,1000,0.087846,0.002487
20,13,1000,0.097538,0.002543
40,13,1000,0.091692,0.002528
80,13,1000,0.092923,0.002476
160,13,1000,0.093000,0.002554
320,13,1000,0.093769,0.002561
640,13,1000,0.091462,0.002469
1280,13,1000,0.090231,0.002516
2560,13,1000,0.088846,0.002408
5120,13,1000,0.093077,0.002569
10240,13,1000,0.094231,0.002504
20480,13,1000,0.094000,0.002509
40960,13,1000,0.092385,0.002490
81920,13,1000,0.094769,0.002585
163840,13,1000,0.088923,0.002531
