n_max,caminantes,experimentos,prob,error
10,13,1000,0.103538,0.002597
20,13,1000,0.112308,0.002769
40,13,1000,0.117769,0.002731
80,13,1000,0.114846,0.002867
160,13,1000,0.115154,0.002775
320,13,1000,0.118615,0.002758
640,13,1000,0.118462,0.002971
1280,13,1000,0.111692,0.002781
2560,13,1000,0.109154,0.002793
5120,13,1000,0.115000,0.002805
10240,13,1000,0.110231,0.002753
20480,13,1000,0.118077,0.002997
40960,13,1000,0.115923,0.002914
81920,13,1000,0.115538,0.002855
163840,13,1000,0.114615,0.002807
