sweep,H,L,T
354,-72,0,0
355,-60,0,0
356,-68,0,0
357,-76,0,0
358,-52,0,0
359,-96,0,0
360,-96,0,0
361,-72,0,0
362,-76,0,0
363,-80,0,0
364,-68,0,0
365,-80,0,0
366,-80,0,0
367,-100,0,0
368,-112,0,0
369,-120,0,0
370,-68,0,0
371,-76,0,0
372,-72,0,0
373,-76,0,0
374,-72,0,0
375,-60,0,0
376,-84,0,0
377,-84,0,0
378,-96,0,0
379,-112,0,0
380,-120,0,0
381,-72,0,0
382,-52,0,0
383,-56,0,0
384,-48,0,0
385,-56,0,0
386,-72,0,0
387,-60,0,0
388,-76,0,0
389,-72,0,0
390,-72,0,0
391,-64,0,0
392,-68,0,0
393,-60,0,0
394,-72,0,0
395,-88,0,0
396,-100,0,0
397,-88,0,0
398,-104,0,0
399,-92,0,0
400,-64,0,0
401,-80,0,0
402,-96,0,0
403,-92,0,0
404,-116,0,0
405,-112,0,0
406,-100,0,0
407,-96,0,0
408,-104,0,0
409,-84,0,0
410,-56,0,0
411,-72,0,0
412,-64,0,0
413,-76,0,0
414,-56,0,0
415,-52,0,0
416,-56,0,0
417,-48,0,0
418,-56,0,0
419,-72,0,0
420,-72,0,0
421,-72,0,0
422,-72,0,0
423,-68,0,0
424,-56,0,0
425,-48,0,0
426,-48,0,0
427,-52,0,0
428,-48,0,0
429,-32,0,0
430,-48,0,0
431,-56,0,0
432,-68,0,0
433,-68,0,0
434,-92,0,0
435,-60,0,0
436,-60,0,0
437,-60,0,0
438,-44,0,0
439,-56,0,0
440,-72,0,0
441,-24,0,0
442,-48,0,0
443,-48,0,0
444,-60,0,0
445,-52,0,0
446,-56,0,0
447,-60,0,0
448,-56,0,0
449,-52,0,0
450,-48,0,0
451,-80,0,0
452,-80,0,0
453,-112,0,0
454,-128,0,0
455,-112,0,0
456,-84,0,0
457,-72,0,0
458,-36,0,0
459,-60,0,0
460,-112,0,0
461,-96,0,0
462,-92,0,0
463,-84,0,0
464,-92,0,0
465,-92,0,0
466,-68,0,0
467,-80,0,0
468,-72,0,0
469,-88,0,0
470,-88,0,0
471,-88,0,0
472,-84,0,0
473,-76,0,0
474,-112,0,0
475,-88,0,0
476,-84,0,0
477,-76,0,0
478,-72,0,0
479,-92,0,0
480,-68,0,0
481,-56,0,0
482,-84,0,0
483,-88,0,0
484,-84,0,0
485,-68,0,0
486,-88,0,0
487,-92,0,0
488,-88,0,0
489,-108,0,0
490,-88,0,0
491,-120,0,0
492,-96,0,0
493,-68,0,0
494,-72,0,0
495,-64,0,0
496,-100,0,0
497,-76,0,0
498,-88,0,0
499,-88,0,0
500,-96,0,0
501,-116,0,0
502,-96,0,0
503,-64,0,0
504,-64,0,0
505,-52,0,0
506,-52,0,0
507,-72,0,0
508,-68,0,0
509,-64,0,0
510,-92,0,0
511,-68,0,0
512,-84,0,0
513,-96,0,0
514,-100,0,0
515,-88,0,0
516,-104,0,0
517,-120,0,0
518,-112,0,0
519,-112,0,0
520,-120,0,0
521,-96,0,0
522,-96,0,0
523,-120,0,0
524,-108,0,0
525,-100,0,0
526,-88,0,0
527,-84,0,0
528,-88,0,0
529,-84,0,0
530,-56,0,0
531,-64,0,0
532,-64,0,0
533,-48,0,0
534,-52,0,0
535,-44,0,0
536,-48,0,0
537,-36,0,0
538,-32,0,0
539,-60,0,0
540,-60,0,0
541,-60,0,0
542,-68,0,0
543,-68,0,0
544,-64,0,0
545,-76,0,0
546,-84,0,0
547,-84,0,0
548,-96,0,0
549,-68,0,0
550,-68,0,0
551,-96,0,0
552,-120,0,0
553,-72,0,0
554,-128,0,0
555,-88,0,0
556,-64,0,0
557,-56,0,0
558,-52,0,0
559,-64,0,0
560,-36,0,0
561,-80,0,0
562,-120,0,0
563,-88,0,0
564,-68,0,0
565,-104,0,0
566,-116,0,0
567,-84,0,0
568,-88,0,0
569,-84,0,0
570,-92,0,0
571,-96,0,0
572,-96,0,0
573,-84,0,0
574,-76,0,0
575,-80,0,0
576,-100,0,0
577,-104,0,0
578,-104,0,0
579,-100,0,0
580,-104,0,0
581,-92,0,0
582,-68,0,0
583,-56,0,0
584,-64,0,0
585,-76,0,0
586,-92,0,0
587,-104,0,0
588,-104,0,0
589,-104,0,0
590,-116,0,0
591,-96,0,0
592,-52,0,0
593,-68,0,0
594,-60,0,0
595,-64,0,0
596,-72,0,0
597,-64,0,0
598,-68,0,0
599,-68,0,0
600,-84,0,0
601,-92,0,0
602,-92,0,0
603,-100,0,0
604,-112,0,0
605,-120,0,0
606,-104,0,0
607,-88,0,0
608,-84,0,0
609,-84,0,0
610,-108,0,0
611,-88,0,0
612,-80,0,0
613,-100,0,0
614,-96,0,0
615,-100,0,0
616,-108,0,0
617,-104,0,0
618,-96,0,0
619,-48,0,0
620,-68,0,0
621,-64,0,0
622,-68,0,0
623,-56,0,0
624,-48,0,0
625,-36,0,0
626,-64,0,0
627,-60,0,0
628,-72,0,0
629,-60,0,0
630,-40,0,0
631,-48,0,0
632,-68,0,0
633,-52,0,0
634,-56,0,0
635,-52,0,0
636,-64,0,0
637,-52,0,0
638,-64,0,0
639,-48,0,0
640,-68,0,0
641,-68,0,0
642,-108,0,0
643,-84,0,0
644,-36,0,0
645,-48,0,0
646,-60,0,0
647,-72,0,0
648,-72,0,0
649,-80,0,0
650,-96,0,0
651,-116,0,0
652,-96,0,0
653,-96,0,0
654,-84,0,0
655,-112,0,0
656,-108,0,0
657,-92,0,0
658,-100,0,0
659,-64,0,0
660,-52,0,0
661,-44,0,0
662,-48,0,0
663,-52,0,0
664,-48,0,0
665,-48,0,0
666,-80,0,0
667,-80,0,0
668,-72,0,0
669,-68,0,0
670,-52,0,0
671,-64,0,0
672,-60,0,0
673,-40,0,0
674,-64,0,0
675,-60,0,0
676,-60,0,0
677,-72,0,0
678,-72,0,0
679,-60,0,0
680,-104,0,0
681,-56,0,0
682,-48,0,0
683,-80,0,0
684,-104,0,0
685,-116,0,0
686,-104,0,0
687,-76,0,0
688,-44,0,0
689,-40,0,0
690,-56,0,0
691,-76,0,0
692,-60,0,0
693,-76,0,0
694,-72,0,0
695,-96,0,0
696,-72,0,0
697,-44,0,0
698,-32,0,0
699,-56,0,0
700,-60,0,0
701,-52,0,0
702,-36,0,0
703,-64,0,0
704,-72,0,0
705,-56,0,0
706,-52,0,0
707,-92,0,0
708,-72,0,0
709,-48,0,0
710,-32,0,0
711,-52,0,0
712,-48,0,0
713,-68,0,0
714,-56,0,0
715,-60,0,0
716,-52,0,0
717,-48,0,0
718,-64,0,0
719,-76,0,0
720,-120,0,0
721,-120,0,0
722,-88,0,0
723,-76,0,0
724,-92,0,0
725,-88,0,0
726,-84,0,0
727,-88,0,0
728,-88,0,0
729,-120,0,0
730,-120,0,0
731,-104,0,0
732,-88,0,0
733,-72,0,0
734,-80,0,0
735,-76,0,0
736,-60,0,0
737,-56,0,0
738,-68,0,0
739,-80,0,0
740,-72,0,0
741,-76,0,0
742,-84,0,0
743,-108,0,0
