n_max,caminantes,experimentos,prob,error
10,13,1000,0.142615,0.002971
20,13,1000,0.142538,0.003045
40,13,1000,0.145000,0.003216
80,13,1000,0.150462,0.003094
160,13,1000,0.147846,0.003067
320,13,1000,0.149923,0.003115
640,13,1000,0.150846,0.003055
1280,13,1000,0.152538,0.003127
2560,13,1000,0.158308,0.003300
5120,13,1000,0.149154,0.003152
10240,13,1000,0.152923,0.003181
20480,13,1000,0.148923,0.003098
40960,13,1000,0.148692,0.003129
81920,13,1000,0.144077,0.003091
163840,13,1000,0.143615,0.003126
