n_max,caminantes,experimentos,prob,error
10,13,1000,0.145308,0.003050
20,13,1000,0.146462,0.003110
40,13,1000,0.144769,0.003177
80,13,1000,0.148154,0.003106
160,13,1000,0.147769,0.003071
320,13,1000,0.151692,0.003110
640,13,1000,0.146154,0.003109
1280,13,1000,0.148769,0.003219
2560,13,1000,0.147538,0.003070
5120,13,1000,0.150692,0.003161
10240,13,1000,0.156077,0.003225
20480,13,1000,0.154923,0.003305
40960,13,1000,0.151462,0.003225
81920,13,1000,0.154615,0.003169
163840,13,1000,0.153923,0.003204
